CohortMonth,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2024-09,2.0,,,,2.0,,,,,,,,,1.0,,1.0,,,,,1.0,1.0,1.0
2024-10,3.0,1.0,1.0,,,1.0,,,,1.0,,,,,1.0,,1.0,1.0,2.0,,1.0,1.0,
2024-11,1.0,,,,,,,,,1.0,,,,,,,1.0,,,,,1.0,
2024-12,2.0,1.0,,,,1.0,1.0,,1.0,1.0,,,1.0,1.0,,,,,,1.0,,,
2025-01,3.0,,,1.0,1.0,,1.0,2.0,1.0,2.0,1.0,,,,,,,,2.0,,,,
2025-02,1.0,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,
2025-03,4.0,,,1.0,1.0,1.0,1.0,1.0,,,2.0,2.0,1.0,1.0,,1.0,1.0,1.0,,,,,
2025-04,3.0,1.0,,,2.0,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,1.0,,,,,,
2025-05,2.0,,,,1.0,,,,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,,
2025-06,7.0,3.0,2.0,1.0,2.0,2.0,,2.0,2.0,3.0,2.0,,2.0,3.0,,,,,,,,,
2025-07,3.0,,,2.0,1.0,1.0,,1.0,,2.0,,,1.0,,,,,,,,,,
2025-08,8.0,4.0,1.0,1.0,,2.0,2.0,3.0,4.0,1.0,3.0,5.0,2.0,,,,,,,,,,
2025-09,5.0,2.0,3.0,2.0,1.0,,3.0,3.0,2.0,1.0,2.0,,,,,,,,,,,,
2025-10,10.0,4.0,3.0,4.0,2.0,5.0,2.0,2.0,3.0,4.0,1.0,,,,,,,,,,,,
2025-11,6.0,2.0,2.0,3.0,3.0,1.0,1.0,5.0,1.0,,,,,,,,,,,,,,
2026-01,6.0,3.0,2.0,3.0,1.0,3.0,4.0,1.0,,,,,,,,,,,,,,,
2026-02,2.0,1.0,,2.0,2.0,1.0,,,,,,,,,,,,,,,,,
2026-03,6.0,1.0,4.0,4.0,5.0,1.0,,,,,,,,,,,,,,,,,
2026-04,4.0,1.0,4.0,4.0,1.0,,,,,,,,,,,,,,,,,,
2026-05,4.0,4.0,3.0,1.0,,,,,,,,,,,,,,,,,,,
2026-06,9.0,9.0,2.0,,,,,,,,,,,,,,,,,,,,
2026-07,8.0,5.0,,,,,,,,,,,,,,,,,,,,,
2026-08,1.0,,,,,,,,,,,,,,,,,,,,,,
