CohortMonth,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2024-09,100.0,,,,100.0,,,,,,,,,50.0,,50.0,,,,,50.0,50.0,50.0
2024-10,100.0,33.33333333333333,33.33333333333333,,,33.33333333333333,,,,33.33333333333333,,,,,33.33333333333333,,33.33333333333333,33.33333333333333,66.66666666666666,,33.33333333333333,33.33333333333333,
2024-11,100.0,,,,,,,,,100.0,,,,,,,100.0,,,,,100.0,
2024-12,100.0,50.0,,,,50.0,50.0,,50.0,50.0,,,50.0,50.0,,,,,,50.0,,,
2025-01,100.0,,,33.33333333333333,33.33333333333333,,33.33333333333333,66.66666666666666,33.33333333333333,66.66666666666666,33.33333333333333,,,,,,,,66.66666666666666,,,,
2025-02,100.0,,,,,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,
2025-03,100.0,,,25.0,25.0,25.0,25.0,25.0,,,50.0,50.0,25.0,25.0,,25.0,25.0,25.0,,,,,
2025-04,100.0,33.33333333333333,,,66.66666666666666,33.33333333333333,33.33333333333333,33.33333333333333,66.66666666666666,33.33333333333333,33.33333333333333,,,,,,33.33333333333333,,,,,,
2025-05,100.0,,,,50.0,,,,50.0,50.0,50.0,50.0,50.0,,50.0,,,,,,,,
2025-06,100.0,42.857142857142854,28.57142857142857,14.285714285714285,28.57142857142857,28.57142857142857,,28.57142857142857,28.57142857142857,42.857142857142854,28.57142857142857,,28.57142857142857,42.857142857142854,,,,,,,,,
2025-07,100.0,,,66.66666666666666,33.33333333333333,33.33333333333333,,33.33333333333333,,66.66666666666666,,,33.33333333333333,,,,,,,,,,
2025-08,100.0,50.0,12.5,12.5,,25.0,25.0,37.5,50.0,12.5,37.5,62.5,25.0,,,,,,,,,,
2025-09,100.0,40.0,60.0,40.0,20.0,,60.0,60.0,40.0,20.0,40.0,,,,,,,,,,,,
2025-10,100.0,40.0,30.0,40.0,20.0,50.0,20.0,20.0,30.0,40.0,10.0,,,,,,,,,,,,
2025-11,100.0,33.33333333333333,33.33333333333333,50.0,50.0,16.666666666666664,16.666666666666664,83.33333333333334,16.666666666666664,,,,,,,,,,,,,,
2026-01,100.0,50.0,33.33333333333333,50.0,16.666666666666664,50.0,66.66666666666666,16.666666666666664,,,,,,,,,,,,,,,
2026-02,100.0,50.0,,100.0,100.0,50.0,,,,,,,,,,,,,,,,,
2026-03,100.0,16.666666666666664,66.66666666666666,66.66666666666666,83.33333333333334,16.666666666666664,,,,,,,,,,,,,,,,,
2026-04,100.0,25.0,100.0,100.0,25.0,,,,,,,,,,,,,,,,,,
2026-05,100.0,100.0,75.0,25.0,,,,,,,,,,,,,,,,,,,
2026-06,100.0,100.0,22.22222222222222,,,,,,,,,,,,,,,,,,,,
2026-07,100.0,62.5,,,,,,,,,,,,,,,,,,,,,
2026-08,100.0,,,,,,,,,,,,,,,,,,,,,,
