CustomerID,CohortMonth,OrderMonth,CohortIndex
1,2026-07,2026-07,1
2,2025-11,2025-11,1
3,2026-05,2026-06,2
4,2026-07,2026-07,1
5,2025-03,2026-01,11
6,2024-09,2025-10,14
7,2025-06,2026-07,14
8,2025-09,2025-11,3
9,2026-01,2026-04,4
10,2026-03,2026-06,4
11,2025-06,2026-07,14
12,2026-07,2026-07,1
13,2025-08,2026-07,12
14,2025-04,2026-02,11
15,2026-05,2026-05,1
16,2025-11,2026-06,8
17,2026-01,2026-02,2
18,2025-01,2025-11,11
19,2026-06,2026-07,2
20,2024-12,2025-08,9
21,2026-01,2026-04,4
22,2026-08,2026-08,1
23,2025-01,2026-07,19
24,2026-06,2026-06,1
25,2026-06,2026-07,2
26,2025-10,2026-06,9
27,2026-04,2026-04,1
28,2025-04,2025-11,8
29,2025-07,2026-04,10
30,2025-01,2025-10,10
31,2025-08,2026-04,9
32,2025-06,2025-06,1
33,2026-04,2026-04,1
34,2025-10,2026-07,10
35,2025-11,2025-12,2
36,2025-08,2025-08,1
37,2026-03,2026-03,1
38,2025-08,2026-01,6
39,2025-09,2026-04,8
40,2025-11,2026-03,5
41,2024-10,2025-12,15
42,2026-03,2026-07,5
43,2025-06,2025-09,4
44,2024-09,2025-01,5
45,2025-03,2025-03,1
46,2024-12,2025-05,6
47,2025-04,2025-08,5
48,2026-03,2026-06,4
49,2026-03,2026-04,2
50,2026-06,2026-07,2
51,2026-02,2026-02,1
52,2025-10,2026-02,5
53,2026-03,2026-03,1
54,2026-04,2026-04,1
55,2025-11,2026-04,6
56,2025-06,2025-06,1
57,2025-08,2026-06,11
58,2026-01,2026-04,4
59,2025-02,2025-10,9
60,2025-07,2026-04,10
61,2026-04,2026-07,4
62,2026-01,2026-02,2
63,2026-06,2026-08,3
64,2026-06,2026-06,1
65,2025-03,2026-07,17
66,2025-10,2025-12,3
67,2025-10,2025-10,1
68,2025-09,2025-09,1
69,2025-08,2025-11,4
70,2025-11,2026-06,8
71,2024-11,2024-11,1
72,2025-06,2025-06,1
73,2026-07,2026-07,1
74,2025-03,2026-02,12
75,2025-09,2025-09,1
76,2025-10,2025-10,1
77,2026-06,2026-07,2
78,2025-05,2026-05,13
79,2026-06,2026-06,1
80,2025-10,2025-10,1
81,2025-08,2025-09,2
82,2025-05,2026-03,11
83,2025-10,2026-03,6
84,2026-02,2026-07,6
85,2026-07,2026-07,1
86,2025-10,2026-04,7
87,2026-07,2026-07,1
88,2026-07,2026-08,2
89,2026-05,2026-05,1
90,2025-07,2025-07,1
91,2026-07,2026-07,1
92,2024-10,2024-12,3
93,2026-06,2026-08,3
94,2025-08,2026-06,11
95,2026-01,2026-07,7
96,2025-06,2025-07,2
97,2025-09,2026-04,8
98,2025-10,2026-07,10
99,2026-05,2026-05,1
100,2024-10,2025-03,6
3,2026-05,2026-05,1
5,2025-03,2025-07,5
6,2024-09,2024-09,1
7,2025-06,2026-01,8
8,2025-09,2026-04,8
9,2026-01,2026-01,1
10,2026-03,2026-03,1
11,2025-06,2025-06,1
13,2025-08,2026-03,8
14,2025-04,2025-04,1
15,2026-05,2026-07,3
16,2025-11,2025-11,1
17,2026-01,2026-01,1
18,2025-01,2025-01,1
19,2026-06,2026-06,1
20,2024-12,2024-12,1
21,2026-01,2026-03,3
23,2025-01,2025-01,1
24,2026-06,2026-07,2
27,2026-04,2026-06,3
28,2025-04,2025-05,2
29,2025-07,2026-02,8
30,2025-01,2026-07,19
31,2025-08,2026-07,12
32,2025-06,2026-04,11
33,2026-04,2026-07,4
34,2025-10,2026-03,6
35,2025-11,2025-11,1
37,2026-03,2026-07,5
38,2025-08,2026-06,11
39,2025-09,2025-09,1
40,2025-11,2026-06,8
41,2024-10,2026-04,19
42,2026-03,2026-03,1
43,2025-06,2025-06,1
44,2024-09,2024-09,1
45,2025-03,2026-06,16
46,2024-12,2025-01,2
47,2025-04,2025-12,9
48,2026-03,2026-05,3
49,2026-03,2026-03,1
50,2026-06,2026-06,1
51,2026-02,2026-03,2
52,2025-10,2025-10,1
53,2026-03,2026-07,5
55,2025-11,2025-11,1
56,2025-06,2026-03,10
57,2025-08,2025-10,3
58,2026-01,2026-01,1
59,2025-02,2025-07,6
60,2025-07,2025-10,4
61,2026-04,2026-05,2
62,2026-01,2026-06,6
63,2026-06,2026-06,1
64,2026-06,2026-07,2
65,2025-03,2025-03,1
66,2025-10,2025-10,1
67,2025-10,2025-11,2
68,2025-09,2026-06,10
69,2025-08,2025-09,2
72,2025-06,2026-04,11
74,2025-03,2026-01,11
75,2025-09,2026-01,5
76,2025-10,2026-04,7
78,2025-05,2026-02,10
79,2026-06,2026-07,2
80,2025-10,2025-11,2
81,2025-08,2026-03,8
82,2025-05,2025-09,5
83,2025-10,2026-01,4
84,2026-02,2026-05,4
85,2026-07,2026-08,2
86,2025-10,2025-11,2
90,2025-07,2025-12,6
92,2024-10,2024-10,1
93,2026-06,2026-07,2
94,2025-08,2025-09,2
95,2026-01,2026-01,1
96,2025-06,2025-06,1
97,2025-09,2025-10,2
98,2025-10,2025-10,1
99,2026-05,2026-06,2
100,2024-10,2024-10,1
2,2025-11,2026-07,9
5,2025-03,2025-06,4
6,2024-09,2026-06,22
7,2025-06,2025-06,1
8,2025-09,2025-09,1
10,2026-03,2026-08,6
11,2025-06,2025-10,5
13,2025-08,2025-08,1
14,2025-04,2026-01,10
15,2026-05,2026-06,2
16,2025-11,2026-02,4
18,2025-01,2025-09,9
20,2024-12,2026-07,20
21,2026-01,2026-06,6
23,2025-01,2025-05,5
25,2026-06,2026-06,1
26,2025-10,2026-03,6
27,2026-04,2026-08,5
28,2025-04,2025-04,1
29,2025-07,2025-11,5
30,2025-01,2025-08,8
31,2025-08,2025-08,1
32,2025-06,2025-08,3
34,2025-10,2026-02,5
35,2025-11,2026-06,8
36,2025-08,2026-08,13
39,2025-09,2025-11,3
40,2025-11,2025-11,1
41,2024-10,2024-10,1
42,2026-03,2026-05,3
43,2025-06,2026-06,13
45,2025-03,2026-04,14
46,2024-12,2024-12,1
47,2025-04,2025-04,1
54,2026-04,2026-07,4
55,2025-11,2026-06,8
57,2025-08,2026-04,9
58,2026-01,2026-07,7
59,2025-02,2025-09,8
60,2025-07,2025-07,1
62,2026-01,2026-07,7
65,2025-03,2025-10,8
67,2025-10,2026-07,10
68,2025-09,2025-10,2
69,2025-08,2026-05,10
70,2025-11,2025-11,1
71,2024-11,2025-08,10
72,2025-06,2026-06,13
74,2025-03,2025-03,1
75,2025-09,2026-07,11
76,2025-10,2025-12,3
77,2026-06,2026-06,1
78,2025-05,2026-07,15
81,2025-08,2026-04,9
82,2025-05,2026-01,9
84,2026-02,2026-02,1
86,2025-10,2025-10,1
89,2026-05,2026-06,2
92,2024-10,2024-11,2
94,2025-08,2026-08,13
95,2026-01,2026-08,8
96,2025-06,2026-02,9
97,2025-09,2026-03,7
98,2025-10,2026-01,4
100,2024-10,2026-07,22
4,2026-07,2026-08,2
5,2025-03,2025-03,1
6,2024-09,2025-01,5
8,2025-09,2026-03,7
9,2026-01,2026-06,6
10,2026-03,2026-07,5
11,2025-06,2025-07,2
12,2026-07,2026-08,2
13,2025-08,2026-02,7
14,2025-04,2025-10,7
16,2025-11,2026-01,3
17,2026-01,2026-03,3
18,2025-01,2025-10,10
20,2024-12,2025-06,7
21,2026-01,2026-01,1
23,2025-01,2025-04,4
26,2025-10,2026-07,10
27,2026-04,2026-07,4
29,2025-07,2025-07,1
30,2025-01,2025-01,1
31,2025-08,2025-09,2
32,2025-06,2026-07,14
34,2025-10,2026-05,8
35,2025-11,2026-03,5
37,2026-03,2026-05,3
38,2025-08,2026-03,8
39,2025-09,2026-03,7
40,2025-11,2026-02,4
41,2024-10,2026-02,17
42,2026-03,2026-06,4
43,2025-06,2026-02,9
44,2024-09,2026-07,23
45,2025-03,2025-09,7
46,2024-12,2026-01,14
47,2025-04,2025-09,6
49,2026-03,2026-06,4
51,2026-02,2026-05,4
53,2026-03,2026-05,3
55,2025-11,2026-03,5
56,2025-06,2025-08,3
57,2025-08,2025-08,1
58,2026-01,2026-02,2
59,2025-02,2025-02,1
60,2025-07,2026-07,13
61,2026-04,2026-06,3
62,2026-01,2026-01,1
63,2026-06,2026-07,2
65,2025-03,2026-08,18
66,2025-10,2026-03,6
68,2025-09,2026-07,11
69,2025-08,2026-07,12
70,2025-11,2026-01,3
71,2024-11,2026-03,17
72,2025-06,2026-03,10
74,2025-03,2025-08,6
76,2025-10,2026-05,8
78,2025-05,2026-04,12
80,2025-10,2026-01,4
81,2025-08,2025-08,1
82,2025-05,2025-05,1
83,2025-10,2026-06,9
86,2025-10,2025-12,3
90,2025-07,2025-10,4
92,2024-10,2026-03,18
93,2026-06,2026-06,1
94,2025-08,2026-01,6
96,2025-06,2025-11,6
97,2025-09,2025-12,4
98,2025-10,2026-03,6
99,2026-05,2026-08,4
100,2024-10,2026-06,21
2,2025-11,2026-05,7
3,2026-05,2026-07,3
6,2024-09,2025-12,16
7,2025-06,2026-03,10
8,2025-09,2026-05,9
11,2025-06,2025-11,6
13,2025-08,2026-04,9
14,2025-04,2025-12,9
17,2026-01,2026-07,7
20,2024-12,2025-09,10
23,2025-01,2025-08,8
26,2025-10,2025-10,1
28,2025-04,2025-08,5
30,2025-01,2025-07,7
33,2026-04,2026-06,3
34,2025-10,2025-10,1
36,2025-08,2026-07,12
38,2025-08,2025-08,1
39,2025-09,2025-12,4
41,2024-10,2025-07,10
43,2025-06,2025-10,5
44,2024-09,2026-05,21
46,2024-12,2025-12,13
47,2025-04,2026-08,17
48,2026-03,2026-03,1
49,2026-03,2026-07,5
51,2026-02,2026-06,5
52,2025-10,2025-11,2
54,2026-04,2026-06,3
55,2025-11,2025-12,2
56,2025-06,2025-07,2
57,2025-08,2026-07,12
59,2025-02,2025-08,7
61,2026-04,2026-04,1
65,2025-03,2026-02,12
66,2025-10,2026-06,9
67,2025-10,2026-08,11
68,2025-09,2026-05,9
69,2025-08,2025-08,1
70,2025-11,2026-02,4
71,2024-11,2026-08,22
72,2025-06,2026-01,8
73,2026-07,2026-08,2
74,2025-03,2026-03,13
75,2025-09,2025-11,3
76,2025-10,2026-01,4
78,2025-05,2025-05,1
81,2025-08,2026-02,7
83,2025-10,2025-10,1
84,2026-02,2026-06,5
88,2026-07,2026-07,1
89,2026-05,2026-07,3
92,2024-10,2026-04,19
94,2025-08,2025-08,1
95,2026-01,2026-05,5
97,2025-09,2025-09,1
